Neighbourhood,Hood_ID,Bachelor,Type1,One_Bed,Type2,Two_Bed,Type3,Three_Bed,Type32,Avg_Rent
L'Amoreaux/Steeles/Milliken,147,0,a,1465,a,1694,a,1865,a,1674.666667
East L'Amoreaux,148,1897,a,1862,a,2121,a,2122,a,2000.5
Parkwoods-Donalda,149,1438,a,1578,a,1812,a,2082,a,1727.5
Fenside/Parkwoods,150,0,a,1898,a,2300,a,2815,a,2337.666667
Yonge/Doris,151,1570,a,2041,a,2689,a,0,a,2100
East Willowdale,152,0,a,1644,a,2155,a,2229,a,2009.333333
Avondale,153,1682,a,1893,a,2293,a,3416,a,2321
Oakdale/Beverley Heights,154,1570,a,2041,a,2689,a,0,a,2100
Downsview,155,1102,a,1402,a,1620,a,1738,a,1465.5
Bendale,156,0,a,1688,a,1638,a,1727,a,1684.333333
Bendale South,157,0,a,1688,a,1638,a,1727,a,1684.333333
Islington/City Centre North,158,1897,a,1862,a,2121,a,2122,a,2000.5
Etobicoke City Centre,159,1897,a,1862,a,2121,a,2122,a,2000.5
Mimico,160,1062,a,1350,a,1514,a,2021,a,1486.75
Humber Bay Shores,161,1926,a,2403,a,3199,a,0,a,2509.333333
West Queen West,162,1926,a,2403,a,3199,a,0,a,2509.333333
Fort York/Liberty Village,163,1570,a,2041,a,2689,a,0,a,2100
Wellington Place,164,1639,a,2060,a,0,a,0,a,1849.5
Harbourfront/CityPlace,165,0,a,2220,a,2530,a,2678,a,2476
St Lawrence/East Bayfront/The Islands,166,0,a,2220,a,2530,a,2678,a,2476
Church-Yonge Corridor,167,1682,a,1893,a,2293,a,3416,a,2321
Downtown Yonge East,168,1926,a,2403,a,3199,a,0,a,2509.333333
Bay/Cloverhill,169,1926,a,2403,a,3199,a,0,a,2509.333333
Yonge/Bay Corridor,170,1926,a,2403,a,3199,a,0,a,2509.333333
Junction/Wallace Emerson,171,1639,a,2060,a,0,a,0,a,1849.5
Dovercourt/Davenport,172,1639,a,2060,a,0,a,0,a,1849.5
North Toronto,173,1414,a,1691,a,1961,a,2191,a,1814.25
South Eglinton/Davisville,174,1554,a,1996,a,2655,a,3868,a,2518.25
